,Unique ID,feature_name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,Latitude,Longitude
1072,1276,Stuart Street,"James Ewell Brown ""Jeb"" Stuart",New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.645060,-78.672858
1073,1391,Confederate Soldier Monument,No specific honoree,Newport News,Newport News City,VA,South,Monument,Monument,Uknown,1909.0,,Live,37.129600,-76.541517
1074,5006,Lake Maury,Matthew Fontaine Maury,Newport News,Newport News,VA,South,Body of Water,Parks/Trails,Uknown,1931.0,,Live,37.047914,-76.483963
1075,5005,Lake Maury Natural Area,Matthew Fontaine Maury,Newport News,Newport News,VA,South,Park,Parks/Trails,Uknown,,,Live,37.062025,-76.478556
1076,1449,Confederate Monument,No specific honoree,Nottoway,Nottoway,VA,South,Monument,Courthouse Grounds,Ladies Memorial Association,1893.0,,Live,37.128332,-78.079927
1077,766,Early Drive,Jubal Anderson Early,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,34.187147,-77.907602
1078,2018,Ewell Drive,Richard Stoddert Ewell,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,34.185476,-77.887777
1079,2002,George Anderson Drive,George Anderson,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,34.182739,-77.907853
1080,824,George Davis Statue,George Davis,Wilmington,New Hanover,NC,South,Monument,Monument,United Daughters of the Confederacy,1911.0,,Live,34.235576,-77.945759
1081,2019,Greenhowe Drive,Rose O'Neal Greenhow,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,34.189101,-77.883336
1082,2020,Hood Drive,John Bell Hood,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,34.189020,-77.886227
1083,768,Jeb Stuart Drive,"James Ewell Brown ""Jeb"" Stuart",Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,34.190075,-77.905846
1084,2013,Joe Wheeler Drive,Joseph Wheeler,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,34.179937,-77.885824
1085,2003,John D. Barry Drive,John D. Barry,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,34.178326,-77.898739
1086,2009,John S. Mosby Drive,John Singleton Mosby,Wilmington,New Hanover,NC,South,Highway / Roadway,Roads,Uknown,,,Live,34.179746,-77.900027
1087,1395,To The Memory of A.P. Hill,A.P. Hill,Petersburg,Petersburg City,VA,South,Monument,Monument,Sons of Confederate Veterans,,,Live,37.189425,-77.475337
1088,157,Monument to Confederate Women,No specific honoree,Little Rock,Pulaski,AR,South,Monument,Government Office Grounds,United Confederate Veterans,1913.0,,Live,34.744700,-92.291146
1089,117,Pickett Drive,George Pickett,Little Rock,Pulaski,AR,South,Highway / Roadway,Roads,Uknown,,,Live,34.723980,-92.189878
1090,4001,Robert E Lee Day,Robert E. Lee,Little Rock,Pulaski,AR,South,Holiday,Holiday,State of Arkansas,2017.0,,Live,34.746514,-92.288901
1091,1921,Robert E. Lee School,Robert E. Lee,Little Rock,Pulaski,AR,South,School,Schools,Uknown,1906.0,2005.0,Live,34.740093,-92.316235
1092,151,Lonoke Confederate Monument,No specific honoree,Lonoke,Lonoke,AR,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1910.0,,Live,34.786049,-91.899886
1093,110,Robert E. Lee Street,Robert E. Lee,Malvern,Hot Spring,AR,South,Highway / Roadway,Roads,Uknown,,,Live,34.359576,-92.793803
1094,138,General Robert E. Lee Monument,Robert E. Lee,Marianna,Lee,AR,South,Monument,Monument,United Daughters of the Confederacy,1910.0,,Live,34.773911,-90.756979
1095,108,Lee County,Robert E. Lee,Marianna,Lee,AR,South,County/Municipality,County/Municipality,Uknown,1873.0,,Live,34.774406,-90.766543
1096,2213,Rabun County Confederate Monument,No specific honoree,Clayton,Rabun,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1999.0,,Live,34.878733,-83.402767
1097,323,Bleckley County Confederate Monument,No specific honoree,Cochran,Bleckley,GA,South,Monument,Monument,United Daughters of the Confederacy,1910.0,,Live,32.387017,-83.354941
1098,2146,Broadway Confederate Monument,No specific honoree,Columbus,Muscogee,GA,South,Monument,Monument,Memorial Association,1879.0,,Live,32.459950,-84.993267
1099,324,Muscogee County Confederate Monument,No specific honoree,Columbus,Muscogee,GA,South,Monument,Monument,Ladies Memorial Association,1879.0,,Live,32.460001,-84.993301
1100,260,Robert E. Lee Drive,Robert E. Lee,Columbus,Muscogee,GA,South,Highway / Roadway,Roads,Uknown,,,Live,32.408588,-84.927886
1101,325,Tyler Home Ladies Aid Society,No specific honoree,Columbus,Muscogee,GA,South,Monument,Monument,United Daughters of the Confederacy,1936.0,,Live,32.472583,-84.987717
1102,2122,J.E.B. Stuart #861 UDC Bench,"James Ewell Brown ""Jeb"" Stuart",Commerce,Jackson,GA,South,Monument,Monument,United Daughters of the Confederacy,,,Live,34.201717,-83.456133
1103,367,Confederate Monument,No specific honoree,Conyers,Rockdale,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1913.0,,Live,33.667550,-84.017250
1104,326,Crisp County Confederate Monument,No specific honoree,Cordele,Crisp,GA,South,Monument,Monument,United Daughters of the Confederacy,1911.0,,Live,31.963900,-83.782233
1105,368,Confederate War Memorial,No specific honoree,Covington,Newton,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1906.0,,Live,33.596444,-83.859881
1106,1361,Van Dorn Street,Earl Van Dorn,Alexandria,Alexandria,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.826722,-77.118739
1107,1362,Wheeler Avenue,Joseph Wheeler,Alexandria,Alexandria,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.808155,-77.100695
1108,1413,Confederate Monument,No specific honoree,Amelia,Amelia,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1905.0,,Live,37.342417,-77.980850
1109,1414,Amherst County Confederate Monument,No specific honoree,Amherst,Amherst,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1922.0,,Live,37.585183,-79.051000
1110,1416,Confederate Monument,No specific honoree,Bedford,Bedford,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy; United Confederate Veterans,1935.0,,Live,37.334250,-79.522533
1111,1417,Confederate Monument,No specific honoree,Berryville,Clarke,VA,South,Monument,Courthouse Grounds,Uknown,1900.0,,Live,39.151631,-77.980826
1112,1285,Jeb Stuart Road,"James Ewell Brown ""Jeb"" Stuart",Blackstone,Nottoway,VA,South,Highway / Roadway,Roads,Uknown,,,Live,36.994674,-77.944584
