Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Fisher s Hill and Yager s Mill,Luray,Page County,,,Summers-Koontz Camp #490. with the aid of a grant from the Shenandoah Valley Battlefields Foundation and support from the town of Luray,http://www.hmdb.org/m.asp?m=801
Richardson s Hill,Front Royal,Warren County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=803
Execution of Mosby s Rangers,Front Royal,Warren County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=804
Washington (Louisiana) Artillery Battalion,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=805
White s Ferry,Dickerson,Montgomery County,24801 Whites Ferry Road,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=807
Gettysburg Campaign,Dickerson,Montgomery County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=808
1862 Antietam Campaign,Dickerson,Montgomery County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=809
White s Ford,Martinsburg,Montgomery County,,,the Maryland Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=811
White s Ford,Dickerson,Montgomery County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=812
Alexandria Academy,Historical District,Alexandria,,1999,Department of Historic Resources,http://www.hmdb.org/m.asp?m=813
Fort Frederick,Big Pool,Washington County,,,,http://www.hmdb.org/m.asp?m=821
Gettysburg Campaign,Hancock,Washington County,,,,http://www.hmdb.org/m.asp?m=831
St. Thomas Episcopal Church,Hancock,Washington County,,,,http://www.hmdb.org/m.asp?m=832
Cavalry Engagement,New Market,Shenandoah County,,1998,Department of Historic Resources,http://www.hmdb.org/m.asp?m=835
Rudes Hill,New Market,Shenandoah County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=836
DuPont at Rude s Hill,New Market,Shenandoah County,,,Civil War Trails,http://www.hmdb.org/m.asp?m=838
Battlefield of Bull Run or First Manassas,Manassas,Prince William County,,1928,,http://www.hmdb.org/m.asp?m=840
Stone House,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=846
Fort Randall,North Myrtle Beach,Horry County,,1976,the Horry County Historic Preservation Commission,http://www.hmdb.org/m.asp?m=849
Kennesaw Battlefield,Marietta,Cobb County,,1954,The Georgia Historical Commission,http://www.hmdb.org/m.asp?m=867
Groveton,Manassas,Prince William County,,1928,,http://www.hmdb.org/m.asp?m=871
Fighting in Twilight,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=873
Sudley Methodist Church,Catharpin,Prince William County,5308 Sudley Road,1983,the Prince William County Historical Commission,http://www.hmdb.org/m.asp?m=874
Church During Wartime,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=878
Invaded Farmland,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=879
Point-Blank Volley,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=881
Fairfax Station,Fairfax Station,Fairfax County,,2003,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=885
Second Bull Run Monument,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=886
Military Railroad Terminus,Centreville,Fairfax County,,1996,the Department of Historic Resources,http://www.hmdb.org/m.asp?m=887
Charge on Griffin s Guns,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=895
